,Sentence
3227,why was southwest only airline to cancelled flight all flights from charleston _questionmark_ was 7:50pm flight cancelled flirtation really weather relate flight _questionmark_  
3228,stranded in cold texas and getting sick because you overbooked the flight and gave my seat away 
3229,stop the madness our fleet is on fleek 
3230,and that you can choose the same seat for free after clicking  buttons 
3231,i have just checked in flight to so from lax amp been told as atlantic flying club gold i get no benefits _questionmark_ _exclamation_  
3232,this is the year for van gogh fans to visit europe 
3233,i requested my boarding pass to be texted to me but i still haven i received it 
3234,a change fee of  same exact flight from atl hou is  why a charge of  _questionmark_ the math doesn i add up 
3235,the word failure means: an act or instance of failing or proving unsuccessful lack of success nonperformance of something due 
3236,you think i haven i tried that multiple times _questionmark_ the status of my bag is that it should ve been here yesterday so disgusted 
3237,question:are there onboard  volt outlets in all planes _questionmark_ if so where _questionmark_  
3238,this says it was estimated to leave an hour ago it hasn i left yet so thanks for this useful information 
3239,been on hold for over an hour still don i know where my bags are won i refund me my flight _questionmark_ _exclamation_ _questionmark_ _exclamation_ it wasn i weather _exclamation_ _exclamation_  
3240,beautiful view flying into san jose ca this evening 
3241,your customer service in philly is deplorable rude amp unprofessional gate agents after delays amp cancelled flirtations 
3242,is there a way to receive a refund on a trip that was cancelled flight online instead of calling _questionmark_ your phone lines are super busy 
3243,i am aware i fly a lot : just sad i had to change my shoes boots ha _exclamation_  
3244,any chance of adding lax it jak direct any time in the future _questionmark_  
3245,really not acceptable just informed plane won i start chartering bus to take passengers to jak 
3246,yes starting i flight  getting me home more than  hours late flight record locator sulu 
3247,don i understand why i have zero felt info no email  he wait time on oh lines so much for adnan mem : 
3248,do new flights come out at midnight _questionmark_  
3249,can you help me with a refund the phone guy couldn i help the website won i let me submit a reply 
3250,keeping a up in the air _exclamation_ my crew chief cousin alex espinosa in dew _exclamation_  
3251,love the new planes for the jak lax run maybe one day i will be on one where the amenities all function 
3252,i need you to get my cousin to pox she is on  days of travel now and we ve had to hire other sitters til she arrives the for that 
3253,not appropriate to ask in public hence the do each united employee each a new answer your process was such a hassle i cancelled lighted 
3254,well this one missed the mark she was in a snit from the minute i stepped up to the counter 
3255,gave me a smile today with a zero award computers have some sense of humour : 
3256,hi is there a way we can check to track the flight that will arrive amp that will be our flight to depart 
3257,and the from team to offer in access to journal digital journal 
3258,your flight attendants are really funny _exclamation_ _exclamation_ the sass is giving me life _exclamation_ _exclamation_ _exclamation_ :face_with_tears_of_joy: 
3259,i am stuck in fort lauderdale 
3260,thank you _exclamation_  
3261,them and 
3262,still waiting for a flight i should get my money back 
3263,hello my flight is cancelled lighted for and no one at your desk at ki knows what the fuck is happening _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_  
3264,nicole at quito airport took great care of us this week handled lost baggage seat changes very professional nice pat her back 
3265,congrats on your call center customer service _exclamation_ a guy named silencio answered and he went above amp beyond to help me _exclamation_ :ok_hand: :ok_hand: :ok_hand: 
3266,more people would catch their flights if your attendants had more help _exclamation_  
3267,with karen and found her unhelpful and rude called united at the time amp told she could board but karen would not accept 
3268,finally through the 
3269,thank you we all be in touch _exclamation_  
3270,thanks for working in very rigorous weather conditions for all 
3271,today i wait was a violation of 
3272,i appreciate the speedy response but the longer you delay the more inconvenience you put on your customers please nix change fee _exclamation_  
3273,on our way now 
3274,is flight number  denver to las vegas  on sunday feb  cancelled lighted 
3275,i see several economy plus can you put us in those we don i have to be seated together 
3276,i will and i will share with many many others 
3277,cancelled lighted my mileage plus award reservation  same day have yet to see my miles back despite agent confirmation 
3278,ok so why is it late flight _questionmark_ and for that matter why was my flight  cancelled lighted this morning _questionmark_ i have been in xyz since  am 
3279,thank you for your time _exclamation_  
3280,big ups to newark airport staff amp amp i dean i was also treated lovely while i was in town :red_heart: :red_heart: 
3281,thank you so much for access to tonight at :beaming_face_with_smiling_eyes: crying dying in 
3282,y all just cancelled lighted the flight i rebooked after est was cancelled lighted help _questionmark_ i need to be in ny schedule more flights tomorrow _exclamation_  
3283,got it squared away someone picked up as soon as i tweeted should have tweeted sooner :winking_face: 
3284,i have never seen such incompetency from a gate agent in years of business travel dew be gate agent needs training or new job 
3285,take me here 
3286,membership has no privileges anymore my son is in the army short window to see him no help 
3287,worst experience of all time will never ever ever travel with you again ever 
3288,your customer service is inferior to that of a nationalized third world nation i airline get it together 
3289,how do i merge my miles accounts _questionmark_ your sites tell me my info don i match even though i can not find a difference 
3290,an update on flight  would be great _exclamation_  
3291,denied me standby be of checked bag in cog  to pal  so i had to take delayed   his late flight except u lost bag in cog 
3292,stuck on a plane at jfk: food was not on the plane now we need to wait crew to push back the plane good job a _exclamation_  
3293,i have submitted my request i would appreciate a call by am eastern thank you 
3294,why was flight  forced to return to ny when there was a malfunction _questionmark_ why not land in the countless air strips surrounding chi _questionmark_  
3295,thanks _exclamation_  
3296,we are missing our connecting transportation in puerto rico as a result need to get to virtues today 
3297,the pilot told us they would release bags as well as offer hotel vouchers neither happened 
3298,booked mos early paid for early check in was assigned boarding here this early and you deleted me in error _questionmark_ _exclamation_  
3299,seriously _questionmark_ i have shared my concerns four times already to no avail _exclamation_ geeeeezzzzz _exclamation_ flyer 
3300,thats weak see ya :waving_hand: hey 
3301,first base already _questionmark_ i like your style 
3302,pushing five hours and my time is worth nothing to you relight booking problems not an option unfortunately 
3303,no worries about the tweets we all should do what we can to make sure we as in your tag line fly the friendly skies 
3304,see information on our boarding process: up i get group  amp  just no reason on   
3305,flight is already over i think the airline should just have the flight attendants actually emphasize that vape is still smoking 
3306,thne hopefully it is just on the not flight up i have got  shows this wind worst case i will just turn my sweatshirt inside out 
3307,ready to go to disneyworld _exclamation_ for the 
3308,can you tell me why i waited  mins and then was charged the  phone change fee even tho i wasn i allow to make change online _questionmark_  
3309,just landed flight  any chance of making flight  phoenix to aus 
3310,i have to spend more than the cost of the flight just to get a free room and transportation to and from the airport 
3311,go south everyone 
3312,i will if you can show me where this new program is beneficial to your longstanding loyal consumers 
3313,used to exclusively fly so but late slightly direct flights amp cheaper costs have me switched :pensive_face: why so few direct flights _questionmark_  
3314,been stuck for  minutes due to lavatory issues no beverages no snacks no customer service felt  to pho 
3315,what is with all the cancelled flightlations to fbi _questionmark_ we have pax at dna that have been sent to  different lines between all and awe help _exclamation_  
3316,you guys really suck _exclamation_ i just spent  minutes on the phone linking my credits to my account they are still not there _exclamation_   
3317,love how you hold flight  in pox for late flight passengers and make us all over an hour late flight great job 
3318,still waiting on a do response 
3319,strives to be customer central in everything they do communications advertising customer journey etc 
3320,you failed me last week at ah next into trip on delta small ual flight from lax booked that is it _exclamation_  
3321,excited that i will be flying from syracuse to interview in dallas on friday for the fa position this is a goal amp dream of mine _exclamation_  
3322,and time in a row i have been over charged by  i of on my plane ticket why _questionmark_ i shouldn i have to check my ca everytime 
3323,you should spend all of the money you take for our tickets and update your planes _exclamation_ each flight has a maintenance issue _exclamation_ _exclamation_ _exclamation_  
3324,don i forget without your customers you would be out of business _exclamation_  
3325,i have never been given a number for elite for usain only a i waited for  hours for an answer and by then my seat was gone 
3326,thank you for being jetblue and not jetgreen or jeered blue is my favorite color _exclamation_ and jet blue makes it better : 
3327,almost an hour on hold for swa is inexcusable 
3328,enough already with the poor service old planes ridiculous routing ok and time to find a new airline with status match 
3329,record i cabaret got email we couldn i get rescheduled on another flight but don i know if flight is cancelled lighted 
3330,i even went to ticket counter and got no help 
3331,i digg it _exclamation_  
3332,thanks _exclamation_ i just sent a few des 
3333,really appreciate the great customer service one of your service agents just hung up on me when asking legitimate questions 
3334,that is why i love jetblue _exclamation_  
3335,what i the point of offering a free checked bag of you lose it _questionmark_  
3336,after a crappy flight due to delays and rude staff members i am happy to report after paying  to check my luggage it is ruined 
3337,how about fixing the wifi _exclamation_ ord flight where it is not working  series plane so not like it is an old plane 
3338,already booked my tickets for august with with _exclamation_ can not wait for my vacation _exclamation_  
3339,something is wrong with your phone system if you call someone and don i play the recorded flight notification is  late flight _questionmark_  
3340,i do to as i have an afternoon conference in las vegas and i would rather plan ahead than run thru the airport and then attempt 
3341,oh yes because i had loads of time running to my connecting flight after you delayed me for about  minutes 
3342,frontier is currently offering their weather exceptions for this weekend when is united _questionmark_  
3343,we are on the up flight all to pal and then connection to man however with the delays we might miss it can we go earlier _questionmark_  
3344,dal is due for sleet sun eve didn i see it listed for cities that can re book _questionmark_ fly to dna at 8:10 
3345,sign me up _exclamation_  
3346,my flight  was cancelled lighted i need to be rebooked and i can not do it online and they are not answering calls help _exclamation_  
3347,i have a flight   am from fort lauderdale to wi can i cancelled flight that flight flight  trip i i  
3348,this isn i a one time thing either _exclamation_ it is a shocking pattern of repeated neglect and disrespect 
3349,to operated  from to replacing   between may sep instead till oct 
3350,cancelled lighted flights and asshole phone support 
3351,when will dates to fly go past august   _questionmark_  
3352,is making dreams come true with their scavenger hunt _exclamation_ you can win a chance to see imagine dragons _exclamation_ go _exclamation_  
3353,okey done 
3354,let me assure you my travel time is him not him 
3355,i just had an interview how long does it take before you hear back 
3356,it wasn i weather this morning  diverted back to bos due to mechanical issues so far lost one of  days : 
3357,flight   departs enroute to 
3358,thank you for leaving my  y o grandma stranded because connecting felt could not wait  minutes i will never fly you again 
3359,please review and fix your baggage procedures at dulles because it happens every week when my sister travels there on your airline 
3360,calling at am to tell me my flight has been rescheduled  hours late flight than it was supposed be to seems like a bad solution 
3361,ten his late flight and still here on army cots airport waiting for am flight 
3362,check do please : 
3363,thanks _exclamation_  
3364,my wife and  month old might miss flight and next direct is  am mother in law been on hold with customer support for  
3365,so there were  early bird check ins because i was told there were no flythroughs _questionmark_ good flight otherwise 
3366,very frustrated saw seats avail online for pref alt flight unable to book online lost those seats during it  he phone hold 
3367,at its worse can not figure how to pack plane screws up connects then claims no hot rooms in san fran for stranded pax way to go _exclamation_  
3368,i am a chairman who was in est class on both my flights today system cancelled lighted my tickets and kicked me out of est 
3369,will flight  that arrives at end be a penguin plane _questionmark_  
3370,that is wonderful unfortunately doesn i help on this  he flight between to major u i cities 
3371,dropped a track on you 
3372,i know you are getting pummeled tonight we were one of the lucky out of just one more 
3373,flying i infant for the est time can i bring a canister of powder formula for a carry on and or use my plastic formula divider _questionmark_  
3374,i just got hanged up on trying to get to an agent can you help _questionmark_  
3375,hi just do i info 
3376,just downloaded the app for iphone notice drink coupon but nothing is displayed _questionmark_ getting ready to fly 
3377,just received it actually thank you _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_  
3378,thank you for the confirmation 
3379,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience 
3380,flight  cut to pal i was est on list someone else got spot rude employee in coach wouldt give id said he was cute red head 
3381,can i get any kind of update on the delayed flight from boston to houston at 7:30 _questionmark_ really need to be back home tonight _exclamation_  
3382,call customer service and of course they just say theres nothing we can do and then offer a transfer and disconnect the line 
3383,to battle on route via 
3384,yes i have been waiting for four hours and no one has been able to help me 
3385,thanks she did her best staying the night in dallas new trial to detroit via atlanta tomorrow assuming no cancelled flightlations 
3386, days in a row not buying it i suggest you review your policy i respect to unaccompanied minors should have had a seat on sun 
3387,after pleading with car service to stay  his past pick up they left me and my family but it is ok i have water and crackers _exclamation_  
3388,flight  ear to all 
3389,i remained on hold for  his to resolve my flight schedule amp your system hung up on me 
3390,thanks just was able to do it on the app myself still not customer service to be seen in xyz 
3391,merging a and dividendmiles yield an error what are the _exact_ steps to navigate the phone menu _questionmark_ all i get is a computer 
3392,thank you _exclamation_ _exclamation_ :smiling_face_with_smiling_eyes: 
3393,what does cabin functionality mean when i am taking a customer satisfaction survey _questionmark_  
3394,never had a bad experience before but this one took the cake now extortion for carry on items as well _questionmark_  
3395,i was told it was due to be on ua which flies direct to dublin so why did it go to london _questionmark_ this is a complete shambles _exclamation_  
3396,i am   for flight booking problems without major problems  isn i bad _exclamation_ :thumbs_down: :thumbs_down: 
3397,ah yes put the bags on the floor instead of the overhead bin so no one trips 
3398,traveling from fra thru iad to mo tomorrow concerned abt iad weather can not change until advisory issued _questionmark_ any advice _questionmark_  
3399,it drops  when i take off the other two people and vice versa back and forth 
3400, months and still no exec platinum member cards what gives _questionmark_  
3401,that is certainly not the impression she is under 
3402,kid just wants fucking money 
3403,that is the number i called it wouldn i let me speak to an agent because of the issues with weather today 
3404,close down 
3405,saying my friend missed her flight when she clearly sat next to me on the plane amp now you re cancelled fighting her flight home wif _exclamation_ _questionmark_  
3406,no thanks i am sick of your company i lousy excuse for customer service i am never flying united again 
3407,the come hell or high water 
3408,please do something about boarding at dna six many delays buses to planes on tarmac despite empty gates disorganized mess 
3409,i am flying into dna my bag is at iad i am already late flight for my meetings at work i will call the number when i land :loudly_crying_face: 
3410,the flights weren i from this morning it was  flights  on thursday and  on monday which turned into tuesday 
3411,debbie baldwin gave a performance of the safety demo this evening on  
3412,big thank you to your ticketing agent ute i at dulles washington for outstanding guest service to get me rebooked 
3413,my friend bought a ticket last night for one of these routes from you and it cost way more can you help _questionmark_ i 
3414,the bag is in a state that i did not travel to and the airports don i fly to each other looks like it all never show 
3415,thanks for your assistance you guys rock _exclamation_ _exclamation_ :hundred_points: 
3416,my wife on the phone asking to switch flight times in mid switch gets disconnected now cancelled lighted _exclamation_ no new time _exclamation_ no call back 
3417,   he wait for bags if this is the a taste of the worlds largest airline heaven help aviation 
3418,awesome customer service on from du they snuck my wife a warm cookie the _exclamation_  
3419,how much does it cost to check in an additional bag _questionmark_ traveling from newark to glasgow thank you : 
3420,yes but it is not looking the ticket agent at out terminal dismissed us and we missed a chance at a miami flight then to do 
3421,he has no priority and iove it 
3422,customer relations line had busy signal too called the normal line and the service rep thought i was dumb for not knowing 
3423,to start daily  flights from oh to on aug 
3424,my friends are stuck at kohl and not getting any help from anyone can you guys contact them please _questionmark_  
3425,you left  people on a hot plane with no ventilation for over an hour and a half and then had to bus them to jak because of 
3426,thank you _exclamation_  
3427,i attempted to book a ticket  times and kept getting a error message i hope you did not still charge me 
3428,can you check on he status of my exp membership card _questionmark_ need the physical card to access some international lounges soon 
3429,airline sucks _exclamation_ customer service sucks _exclamation_ no courtesy _exclamation_ incompetent passengers do not matter bet the ceo is just doing fine though _exclamation_  
3430,what incentive do i have to give you another chance _questionmark_  
3431,received an email requesting i call about a res but i keep getting kicked off of your phone system help _questionmark_  
3432,you lost a customer today flight today was cancelled lighted and i had to find out by calling customer service yesterday 
3433,yes please _exclamation_ i am newly married and trying to update my last name on a preexisting international flight _exclamation_ it seems so easy but 
3434,i will be writing a very detailed letter to you all about this experience today i have never experienced such awful is ever 
3435,i sent you my conf number yesterday 
3436,my booked seat ended up being the last row which was labeled do no occupy had to play musical chairs for  mins unacceptable 
3437,attached original ticket flight number was  isn i the experience i thought i would have terrible _exclamation_  
3438,sitting in baltimore finish taxi and approved to takeoff oops not enough fuel 
3439,mark i in austin was great handling my bag issue 
3440,can you please do me _questionmark_ i have a question for you : 
3441,are departing flights from boston heavily delayed _questionmark_ flying out tomorrow morning 
3442,hi im flying so lax sal clo my connecting time in lax is  is it enough time _questionmark_ do i have to collect my bag and recheck on av _questionmark_  
3443,you set a schedule try and keep it flight 
3444,aw okay thanks 
3445,thanks for the lack of help and the canned response from the ok desk _exclamation_  
3446,my flight  to dallas from jacksonville fly has been cancelled lighted no one has notified me what i going on _questionmark_  
3447,you ve inspired me to start my own airline to combat your weak ass airline sick of this shit 
3448,why cant sapphire members reach anyone on the phone _questionmark_  
3449,and get it together perfect combination for delays and cancelled flightlations 
3450,thanks for the shout out candace _exclamation_ enjoy the ride i always _exclamation_ i adore american airlines _exclamation_  
3451,still waiting on your reps to show now  mins into waiting in below freezing weather waiting for a cab 
3452,flight from dew to lit tomorrow has been cancelled lighted what do i do next _questionmark_ plus advise 
3453,my or class would luv to know who i in charge of your twitter how many people write your tweets _questionmark_  
3454,i filed a delayed bag report on saturday _exclamation_ my flight was cancelled lighted and i never went anywhere _exclamation_  
3455,got a call bag is to be delivered tonight thanks for your reply _exclamation_ _exclamation_  
3456,no chance in hell i i rather walk worst airline ever 
3457,barzegar charges tourists  euros a night for their stay in the tent village he runs 
3458,hopefully that will help someone in the future would there have been a different procedure if i had discovered the theft sooner _questionmark_  
3459,make this delay go away maybe upgrade me and kats seats we are headed to columbus 
3460,mo to lag two hour delay and sitting in tarmac going on  minutes with infants crying on plane _exclamation_ _exclamation_ get us off this plane 
3461,i have many allergies and want to know if i can bring an coz bottle of benadryl on the flight along with my  epipens _questionmark_  
3462,so disappointed least you could do is give us access to admirals club for an hour before our flight to our wedding _exclamation_  
3463,i have been on hold for  minutes this is terrible customer service you messed up my reservation _exclamation_  
3464,really _questionmark_  
3465,next once we arrived to atlanta we waited a full hour before our luggage was placed on a carousel one hour _exclamation_  
3466,what do you call that _questionmark_ _exclamation_ _exclamation_  
3467,you suck _exclamation_  
3468,i will never be flying with ever again  for checked bags _questionmark_ all under bulbs _questionmark_  
3469,can you tell me jet airways award availability _questionmark_  
3470,got transf to dividend miles need to change flight grandma just passed need to change ticket asap update on wait time _questionmark_  
3471,your social listening capabilities are awful if this is the reply for the context in which you were mentioned 
3472,oh and losing my luggage angrybird where skybax 
3473,now in a black hole of your phone system 
3474,unfriendly unhelpful agents unannounced gate changes delayed flight that we found out about by word of mouth 
3475,thank you _exclamation_  
3476,been dealing with multiple offices for the last  days youve completely lost me as a customer unless my bag is back to me 
3477,flight  to ball hit turbulence babies cried kids vomited chaos flight attendant caroline was a superhero 
3478,indeed it was not :winking_face: 
3479,every flight flown by me personally about two round trips per month is full still hard to believe fly  hours thru atl _questionmark_ no 
3480,thank you truly appreciate the help just sent a do 
3481,nice lofty view 
3482,our fleet is on fleek masss jetblue tell them 
3483,ok we are on day  trying to book a flight for  ur system still says due to weather call back late flight 
3484,why are you still selling tickets when you haven i rebooked people to arrive at their destinations on time _questionmark_  
3485,how i a direct flight all it so have unexpected layover in vegas  fuel yet peeps next to me bought for vegas flight 
3486,does she need to complain on twitter for the refund or is it auto applied _questionmark_  
3487,i emailed your customer service team let me know if you need the tracking number 
3488,on a flight at 11:30 tomorrow 
3489,not necessary i am confident the excellent in flight staff will make the appropriate report 
3490,our fleet is on fleek 
3491,greatest newark gate agents ever: david dean norma liedholm and luz calderon just made me feel like a king 
3492,suggestions: tell customers approximate wait times when they are on hold  min now and allow them to cancelled flight online _exclamation_  
3493,and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best 
3494,i want you to pay for my parking fee at orlando airport because your app told me my moms flight landed at 9:19 and it lied 
3495,it takes a month _questionmark_  
3496,do you have a further update on the suitcase today please 
3497,seriously _questionmark_ ua  delayed because of the copilot isn i here _questionmark_ for   hours and he is only flying from raleigh _questionmark_ disappointing 
3498,hello i have a question for you and your phone lines have jammed 
3499,i have a reservation for tomorrow morning but trying to get back  night be other flight was going to jak can i get on list at cog 
3500,keeps delaying my flight horrible customer service 
3501,i am disappointed my flight was cancelled lighted mostly because i was excited to listen to the song i am blue while flying on jetblue 
3502,thanks 
3503,this is ridiculous we are on   hours coming up of waiting to deplane there are are newborns on board 
3504,doing best _questionmark_ think not lousy way to run an airline why no online way to connect _questionmark_ you be on hold for this amp then zip 
3505,what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business 
3506,been on hold for  mins to cancelled flight my reservation can you assist _questionmark_  
3507,did you cancelled flight all flights into dna today _questionmark_  
3508,yeah sorry but there is always a problem with united and you have an international reputation for having problems 
3509,just learning about your famous apology in social media marketing is twitter an asset for jet blue now _questionmark_  
3510,do we get to pick which show _questionmark_  
3511,why do you bother surveying me _exclamation_  
3512,is there something wrong with the website _questionmark_ no matter what flight i select it says it is no longer available 
3513,had baggage lost last night no call from us airways and no bags and nobody answering phone 
3514,and it is not a inconvenience it is a disaster it is a  phone bill from you that you refuse to pay 
3515,will you please start offering more routes out of to more locations instead of just charlotte and atlanta 
3516,was not on board you today just watched report unfold on twitter but still am very proud _exclamation_  
3517,hi again any updates here _questionmark_  
3518,i hate the internet lol 
3519,are you guys alive _questionmark_ i have been on hold for  minutes and counting 
3520,no announcement re extra baggage find an empty bin down to aisle  back up with baggage to my seat row  your agents argueing 
3521,nice it vibe with the moonlight from takeoff to touchdown 
3522,for the record romana at newark was lovely and helpful 
3523,awwweesssooomee _exclamation_  
3524,okay thank you 
3525,your move policy really sucks united has a  hour policy for this with status i was wanting to move up from am to am 
3526,i have two tight connections in and 
3527,can you follow me so i can send the do _questionmark_  
3528,thanks for the  hour flight from pit to pox with zero entertainment guess why i have a quarter million miles on delta 
3529,no oscars on direct to on this flight we were so looking forward to it we were devastated : 
3530,can you help me get a flight out tonight to houston _questionmark_ just don i want to be stuck here till monday with all this bad weather moving in 
3531,i hope so too thank you for your help she traveled halfway across the globe and just wants her suitcase 
3532,first ride on new   with new interior and in seat video nice improvement _exclamation_  
3533,what is going on with the flight  _questionmark_ it has been delay a lot 
3534,if a business decision is made that inconveniences and possibly causes lost customers is it a good business decision _questionmark_  
3535,i have been hanging here for almost an hour 
3536,i am trying to get home to nashville i have been stuck in dallas  days will my flight get out in the morning 
3537, minutes on hold for a reservation _questionmark_  
3538,i am so frustrated and nervous because of this 
3539,reservation was made last july i want to know why i wasn i repeated this only happens on international itineraries 
3540,still can not get a real person on the phone to book a flight ready to just go with since they care 
3541,you should update your passbook passes with any gate changes 
3542,so why do you put this at the bottom of ur baggage report _questionmark_ for fun _questionmark_  
3543,est flight of the morning flying with a toddler will the plane be heated to a comfortable temp before boarding starts 
3544,your app is bad and you should feel bad 
3545,big shoutout to the crews on  bos it jak amp  jak it roc amp gate crews at can bos amp  jak long day of delays made better by them _exclamation_  
3546,i will be calling soon but going tomorrow like it shows on the app is not a good option 
3547,can i get a refund _questionmark_ i would like to book on a better airline 
3548,why let someone from black twitter in their multimedia department _questionmark_  
3549,wife i or its expired a few days ago were planning on flight booking problems trip today anything you can do for us _questionmark_ on a tight budget 
3550, hour mechanical delay killing me 
3551,expanding _exclamation_  
3552,ah if only we could get through we ve tried for over  his can we call 
3553,yes but you are still human i hope dealing with all the horror stories people share i complained to dot everyone should 
3554,what i a good number to call to speak with someone about how you can fix what you did to  people and their luggage on saturday _questionmark_  
3555,raise a dispute with your ca provider and they will hopefully clear it for you 
3556,sorry to report we are stuck on tarmac being held so 
3557,hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen _questionmark_  
3558,its flight of that matters to you all hell next we all won i get our luggage properly transferred 
3559, ear mo  feb wifi never connected but allowed me to purchase access twice amp charged me who do i need to file claim with _questionmark_  
3560,but are your flight attendants fucking tho _questionmark_ it our fleet is on fleek 
3561,i need someone to help me out 
3562,on flight  that has been delayed for hours over human errors like a food truck hitting the plane now the lines are frozen 
3563,your so you fight is cancelled lighted several times each week why even bother _questionmark_  
3564,thank you _exclamation_ off to la to do something very special 
3565,because your plane i toilet wasn i working and they needed gas this is flight  leaving dulles going to lax do some 
3566,just sent it 
3567,no human contact for  myths from cust relations or refund dept if ever a problem do u have humans i can talk to _questionmark_  
3568,just want the money i paid for early bird refunded noone seemed to be able at three different so should have that worked out 
3569,checked in at des moines lay over in ord final destination austin texas baggage was only checked to ord 
3570,you call this customer service _questionmark_ sitting in the tarmac for ihr lost bag and you give me a  voucher _questionmark_  
3571,you have the nicest gate attendant at newark airport gate  right now multiple delays and she is still pleasant with everyone 
3572,greetings ua club member here any idea if i can use the air canada lounge at yer flying ua tomorrow 
3573,total win _exclamation_ _exclamation_ happy ith day on intercom chocolate flight kisses and a chance to hand out snacks thank you 
3574,ta off site at should be a fun day 
3575,stopped flying  yr ago be of aggressive policy on carryon listening to pssngrs forced to chk@preboard 
3576,please reply to my do :heart_suit: 
3577,good luck i have been waiting a week 
3578,thanks so much can not wait to fly with you guys : 
3579,bag in possession but no clothes in bag _questionmark_  
3580,i believe that the website said i could receive credit for upcoming flights since i cancelled lighted my last one is this true _questionmark_  
3581,the just do i conf i  amp  any help appreciated 
3582,no monkey business we luv swa _exclamation_ _exclamation_  
3583,your delayed flight out of wellington made me miss my flight out of charlotte figure out how to take off and arrive on time 
3584,late slightly you ve always been late flight _exclamation_ please get back to the old 
3585,just had a great flight with damion _exclamation_ he was the best 
3586,so how about some help with suggested time i could call to avoid such long wait time 
3587,we are on flight  and were returning to the gate can you provide any information _questionmark_  
3588,congrats you ve just lost a customer for good when i made a united weather change free  min you guys  his on hold amp  
3589,appreciate the response but already spoke to a mo and their response was there is nothing we can do ink if that is what you mean 
3590,when are you guys doing a dalam with 
3591,ok the app doesn i seem to be working just use the mobile site 
3592,my flight has been delayed amp i can not talk reach anyone in customer service because of high call volume 
3593,was just on hold with you all for two hours and then got hung up on oh my god 
3594,great but that still does not help me 
3595,i would be eternally grateful for tickets to the vegas show i i i god bless 
3596, on time and awesome flight great job american _exclamation_  
3597,one lady helping the  of us with luggage 
3598,flight to dew from iad cancelled lighted for mechanical can i get rental car to met my origin 
3599,her name is jane and she wanted was a call    
3600,i was flying home for a 9:30am event tomorrow you pushed back my flight now i have a  ticket that won i get me home in time 
3601,hey _exclamation_ think someone could meet me with my book when i arrive at at 10:30 _questionmark_ it is yes please oscar took it 
3602,is pri boarding for active military or only in uniform _questionmark_  can not travel in uniform for opsec reason even on official travel 
3603,great flight experience again so jak dare i say it _questionmark_ a consistent high quality on a legacy airline _questionmark_ keep it up guys _exclamation_  
3604,now  from ah to ear has broken entertainment system and no wifi despite info on app: 
3605,been on hold forever my first flight was cancelled lighted but my and flight is still on time help _exclamation_  
3606,i o to for coming in clutch and finally taking me home :raising_hands: :raising_hands: 
3607,would have had to fly real far south huh _questionmark_  
3608,not happening also marie burroughs is the worst customer service rep ever 
3609,i was  tomorrow i missed my meeting today amp it was pointless  pay hotel today when the purpose of my trip has been screwed 
3610,check the website before you go to the airport _exclamation_  
3611,denver boston   flight  and boston denver   flight  both planes _exclamation_ visible snack crumbs on seats on all upon boarding 
3612,sent 
3613,on hold for  hours and then you hung up  cancelled lighted flights running out of daycare for our kids who are trapped at home 
3614,we can not help you we don i put people up in hotels when you miss a flight it is against policy 
3615,thank you twitter says i can not do someone unless they follow me can follows my twitter _questionmark_  
3616,many trips coming up _exclamation_ i will see you soon :grinning_face_with_big_eyes: 
3617,severely under staffed at ah 
3618,thanks we did 
3619, days and  planes with mechanical issues _questionmark_ now over   his late flight sitting on this plane this is insane _exclamation_ _exclamation_  
3620,yes please going to drive the  hours 
3621,what a joke hang up on customers _exclamation_ _exclamation_  
3622,i don i believe it is acceptable to have a ticket changed after check in time amp not be notified apparently that is standard 
3623,yes would love an upgrade or voucher please give me a call  
3624,your agents and service on my weekend trip have been amazing _exclamation_ _exclamation_ _exclamation_ thank you _exclamation_ _exclamation_  
3625,i tried all day have been disconnected due to heavy call volume 
3626,the plane 
3627,just deplane at o hare gate kid why don i you send a customer service rep to discuss my situation _questionmark_ god knows 
3628,sean keep in mind if you call plan on being on hold for  hours 
3629,swa agent jacquie pitt sea rudely tells me you re not going  cabo today or manana back  pox flew 
3630,i will be traveling from lax to cut to his i have been rebooked for tomorrow due to the travel advisory 
3631,not one to complain much but really  hour minutes and still nothing agents or agent :right_arrow_curving_down: 
3632,despite mother nature i best efforts i good humored folks got us home safely in an area heavily affected by winter storms 
3633,tried for vip live in the vineyard but yr site went down by the time i got in  redeem its those packages gone 
3634,check in staff at pox are awesome _exclamation_ great traffic control for general boarding 
3635,gate agent slavery is amazing 
3636,what do i push to rebook with that  number 
3637,disappointed we weren i allowed to bring on an aircraft approved carpet on an empty plane not cool 
3638,have a crap machine for sleep apnea is this ok to carry on if i also have a small bag for clothes _questionmark_  
3639,flight landed  hours ago  more flights cme iad last night and still no bag could have driven it from cme 
3640,um down south has snow too 
3641,we rebooked but and i had to split up and take different flights because a pilot ran out of hours _questionmark_ frustrating 
